timestamp,ap_name,ssid,client_id,client_description,event_category,event_type,event_detail
2026-03-20 21:24:36,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,90a5d5a8573d7f52,Julian,802.11,802.11 association,"""channel: 149, rssi: 18, band: 5"""
2026-03-20 21:24:37,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 16:73:73:78:C9:27, aid: 621372057"""
2026-03-20 21:24:37,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 association,"""channel: 11, rssi: 26, band: 2"""
2026-03-20 21:24:40,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 association,"""channel: 11, rssi: 31, band: 2"""
2026-03-20 21:24:40,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 16:73:73:78:C9:27, aid: 80560729"""
2026-03-20 21:24:41,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:24:42,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,2f865976a28042c7,Android_8TR83X7K,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 9E:41:13:B8:97:05, aid: 1864288134"""
2026-03-20 21:24:42,066_Pance-AP1,Zona Wifi Rural Gratis-Alcaldia,2f865976a28042c7,Android_8TR83X7K,802.11,802.11 association,"""channel: 149, rssi: 7, band: 5"""
2026-03-20 21:25:06,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,90a5d5a8573d7f52,Julian,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:25:07,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,90a5d5a8573d7f52,Julian,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:25:11,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,de016d636fca2837,16:73:73:78:c9:27,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:25:19,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,9b399d8bdaae3dc8,Redmi-Note-10-Pro,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 42:75:4F:E7:2F:68, aid: 1112256861"""
